My Future Self n' Me,Mrs. Brooks,"[reads from her script] ""Listen to me, you crazy person, there's no way you can be from the future."" Oh this is going to be fun."
My Future Self n' Me,Scene Description,"Motivation Corp., interior. Stan hurries out of there with Butters close behind."
My Future Self n' Me,Stan,I can't believe it! It's all a scam!
My Future Self n' Me,Butters,"Yeah, I can't believe it!"
My Future Self n' Me,Stan,They've all been lying to us this whole time!
My Future Self n' Me,Butters,"This whole time! I wonder if my future self knows anything about this? [thinks about this a minute. Stan lowers his eyelids to half-closed as he realizes Butters is still clueless] Hey, maybe my future self remembers this happening, a-and can shed some light on this subject."
My Future Self n' Me,Stan,"[closes his eyes a bit, then] Butters, don't you get it?! Those assholes aren't our future selves! Our parents hired them to make us more motivated!"
My Future Self n' Me,Butters,"Eh, but then why did they come back to the past."
My Future Self n' Me,Stan,"They didn't come back to the past, you dumbass, they're actors!"
My Future Self n' Me,Butters,Oh... Oohhhh. [Stan rolls his eyes] But that's like they're lyin'.
My Future Self n' Me,Stan,"It is lying, Butters. Your parents lied to you and my parents lied to me! Get it!"
